epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.79301,4.85578,155.351,4.6238,0,0,0,0,3.40817,219.541,2.93925,6.668e-05,6.668e-05,6.668e-05
2,4.10756,5.13933,148.61,4.84421,0,0,0,0,3.22668,256.251,2.84929,0.000149287,0.000149287,0.000149287
3,5.44576,5.47956,123.522,5.5473,0,0,0,0,3.50442,314.512,2.85595,0.00023107,0.00023107,0.00023107
4,6.97474,2.74336,139.577,1.96041,0,0,0,0,3.10943,182.982,2.07874,0.000312027,0.000312027,0.000312027
5,8.45369,3.82251,48.6061,2.95815,0.50043,0.00156,6e-05,1e-05,2.05602,567.033,1.39433,0.000392158,0.000392158,0.000392158
6,9.93173,3.97077,18.2941,2.82618,0.50068,0.00937,0.0001,3e-05,1.90465,5631.63,1.33166,0.000471465,0.000471465,0.000471465
7,11.3862,2.57349,15.7088,1.90371,7e-05,0.00156,3e-05,0,2.62559,5498.81,1.89098,0.000549947,0.000549947,0.000549947
8,12.7939,3.27883,6.54369,2.51346,0.00064,0.00937,0.00014,3e-05,2.28484,2918.77,1.76281,0.000627603,0.000627603,0.000627603
9,14.2639,2.98748,9.70449,2.19879,0,0,0,0,2.23987,inf,1.69426,0.000704434,0.000704434,0.000704434
10,15.6785,3.07422,6.29885,2.17053,0.00024,0.00937,0.00014,2e-05,2.53845,85.0642,2.08841,0.00078044,0.00078044,0.00078044
11,17.1004,3.32629,5.09411,2.50321,0.00056,0.00625,0.00033,3e-05,2.9532,6.62709,2.31921,0.000855621,0.000855621,0.000855621
12,18.5396,2.94656,4.64169,2.28762,0.00034,0.01094,0.00023,9e-05,2.1813,7.20362,2.00462,0.000929977,0.000929977,0.000929977
13,19.9834,2.32528,4.54674,1.84483,0.5037,0.00625,0.00045,0.00017,1.93511,5.68504,1.40963,0.00100351,0.00100351,0.00100351
14,21.4316,3.08,4.84344,2.34731,0.00841,0.00937,0.00036,0.00016,1.7016,1095.89,1.25571,0.00107621,0.00107621,0.00107621
15,22.7871,2.85791,4.26228,2.35425,0.00147,0.00937,0.00021,0.0001,1.7164,inf,1.66734,0.00114809,0.00114809,0.00114809
16,24.1317,2.64233,3.47909,2.00061,0.0001,0.00156,2e-05,0,2.69615,inf,8.1331,0.00121915,0.00121915,0.00121915
17,25.5045,3.30558,4.63102,2.47144,0,0,0,0,0,inf,0,0.00128938,0.00128938,0.00128938
18,26.8915,2.80478,3.96676,2.26831,0,0,0,0,0.81531,19445.3,1.04715,0.00135878,0.00135878,0.00135878
19,28.2347,3.05509,6.05779,2.36811,0,0,0,0,0,inf,0,0.00142736,0.00142736,0.00142736
20,29.5972,2.60033,4.07134,1.90817,0,0,0,0,nan,nan,nan,0.00149512,0.00149512,0.00149512
21,30.9448,3.28708,4.35346,2.53327,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
22,32.2901,3.07507,4.29255,2.31967,0,0,0,0,nan,nan,nan,0.00149372,0.00149372,0.00149372
23,33.6478,3.2545,3.84049,2.36636,0,0,0,0,nan,nan,nan,0.00148546,0.00148546,0.00148546
24,34.9995,2.4131,3.76878,1.9734,0,0,0,0,0,inf,0,0.00147721,0.00147721,0.00147721
25,36.3439,3.58118,4.48302,2.38633,0,0,0,0,0,638.958,0,0.00146896,0.00146896,0.00146896
26,37.6674,2.5691,3.41294,1.97795,0.00019,0.00625,0.00011,1e-05,2.77977,16.9861,2.71446,0.00146071,0.00146071,0.00146071
27,39.0021,3.14541,3.42011,2.38005,0.51999,0.00469,0.00267,0.00028,2.5026,41.3315,2.85754,0.00145246,0.00145246,0.00145246
28,40.3807,2.36328,3.8213,1.8809,0.00018,0.00469,9e-05,1e-05,2.84952,inf,2.33993,0.00144421,0.00144421,0.00144421
29,41.7787,2.7777,3.90745,2.36189,0,0,0,0,3.26767,inf,3.43422,0.00143595,0.00143595,0.00143595
30,43.1185,3.33887,4.77653,2.4361,0,0,0,0,3.56521,2930.85,6.20874,0.0014277,0.0014277,0.0014277
31,44.4986,2.60575,3.61182,1.91061,0,0,0,0,2.90892,81.5601,6.21942,0.00141945,0.00141945,0.00141945
32,45.8764,3.45704,4.29675,2.49602,0,0,0,0,4.12299,189.15,8.70199,0.0014112,0.0014112,0.0014112
33,47.231,3.25064,3.96407,2.49033,0,0,0,0,2.02241,245.002,3.35743,0.00140295,0.00140295,0.00140295
34,48.5562,2.24219,3.40621,1.94176,0,0,0,0,2.44313,193.871,11.5266,0.0013947,0.0013947,0.0013947
35,49.9183,2.76414,3.75957,2.35873,0,0,0,0,0,561.125,0,0.00138644,0.00138644,0.00138644
36,51.2687,2.74962,4.50647,2.12484,0,0,0,0,1.49447,5.78906,3.0676,0.00137819,0.00137819,0.00137819
37,52.6169,2.59137,4.39287,2.13291,0,0,0,0,0.36572,7.23177,0.49096,0.00136994,0.00136994,0.00136994
38,53.9548,2.86141,3.69559,2.07465,0,0,0,0,0,69.0703,0,0.00136169,0.00136169,0.00136169
39,55.2927,2.68997,3.87658,1.65285,0,0,0,0,3.36162,2015.9,3.82816,0.00135344,0.00135344,0.00135344
40,56.6575,2.79196,4.08101,2.29163,0.0015,0.00625,0.00012,4e-05,1.76271,1443.72,1.436,0.00134519,0.00134519,0.00134519
41,58.0365,2.19137,4.15557,1.6663,0,0,0,0,1.94254,194.434,3.03841,0.00133693,0.00133693,0.00133693
42,59.3628,2.68116,3.77055,2.13153,0,0,0,0,1.86929,161.127,2.32423,0.00132868,0.00132868,0.00132868
43,60.6966,2.64234,3.43845,2.16721,3e-05,0.00156,1e-05,0,2.49031,3060.07,10.0862,0.00132043,0.00132043,0.00132043
44,62.0579,2.57503,2.93597,2.09158,0.0002,0.00781,6e-05,2e-05,2.11912,inf,2.28282,0.00131218,0.00131218,0.00131218
45,63.4265,2.74494,4.77497,2.19306,8e-05,0.00156,1e-05,0,2.85158,8427.64,3.71667,0.00130393,0.00130393,0.00130393
46,64.7654,2.29287,3.25854,1.8259,0,0,0,0,3.09394,278.75,6.13928,0.00129568,0.00129568,0.00129568
47,66.1003,2.31502,3.19662,1.49493,0,0,0,0,2.28591,181.021,1.45002,0.00128742,0.00128742,0.00128742
48,67.4498,2.72573,2.8183,1.94385,0,0,0,0,2.79154,32.5513,3.49439,0.00127917,0.00127917,0.00127917
49,68.7883,2.77713,3.36014,2.15465,0,0,0,0,1.69214,46.5625,1.85699,0.00127092,0.00127092,0.00127092
50,70.1259,2.66809,3.53781,1.86089,0,0,0,0,3.76292,63.218,5.58072,0.00126267,0.00126267,0.00126267
51,71.4994,1.95761,3.12151,1.56662,0,0,0,0,2.64739,27.2126,5.01636,0.00125442,0.00125442,0.00125442
52,72.8545,2.3799,4.16351,2.0427,0,0,0,0,2.69665,18.1939,5.36745,0.00124617,0.00124617,0.00124617
53,74.2032,2.40481,3.48683,1.81678,4e-05,0.00156,2e-05,0,3.17691,23.5172,4.83643,0.00123791,0.00123791,0.00123791
54,75.5476,3.03472,3.47998,1.91358,0.00534,0.00469,0.00015,2e-05,2.76094,53.1369,2.58493,0.00122966,0.00122966,0.00122966
55,76.9071,2.7572,3.26488,2.26096,0.00631,0.00781,0.00032,5e-05,2.46064,101.706,1.92794,0.00122141,0.00122141,0.00122141
56,78.2677,2.47189,3.27128,1.95846,0.51211,0.00313,0.00017,3e-05,2.77097,19.6855,2.36782,0.00121316,0.00121316,0.00121316
57,79.6268,1.87383,3.33936,1.67365,0.51704,0.00469,0.00075,0.00023,2.42895,5.18625,1.9081,0.00120491,0.00120491,0.00120491
58,80.9447,2.75276,3.9276,2.12834,0.0221,0.00469,0.00108,0.00054,2.16035,1.88482,1.6619,0.00119666,0.00119666,0.00119666
59,82.3419,2.12875,3.45934,1.72227,0.00106,0.00469,0.00071,0.00025,2.74219,1.73923,1.9692,0.0011884,0.0011884,0.0011884
60,83.6509,1.84255,2.57402,1.26627,0.00076,0.00156,0.00039,4e-05,2.6565,2.32273,2.13792,0.00118015,0.00118015,0.00118015
61,84.97,2.69019,3.57555,2.21878,0,0,0,0,3.49126,18.4669,2.96493,0.0011719,0.0011719,0.0011719
62,86.3525,2.73345,3.96744,2.24099,0,0,0,0,3.49923,19.966,3.19423,0.00116365,0.00116365,0.00116365
63,87.6843,3.15251,3.66372,2.04237,0,0,0,0,3.36965,21.7718,3.51264,0.0011554,0.0011554,0.0011554
64,89.0606,2.63817,4.45696,2.15123,0,0,0,0,3.38618,35.6631,3.68107,0.00114715,0.00114715,0.00114715
65,90.4077,2.4296,3.13429,2.14547,0.66665,0.00313,0.00253,0.00025,3.03153,39.973,2.5203,0.00113889,0.00113889,0.00113889
66,91.7451,2.3802,3.64199,1.64418,0.04367,0.00625,0.00321,0.00058,2.50873,44.6945,1.96033,0.00113064,0.00113064,0.00113064
67,93.1443,2.24761,3.65995,2.08146,0.06674,0.01094,0.00421,0.00084,2.13726,46.2299,1.8046,0.00112239,0.00112239,0.00112239
68,94.5826,2.48835,4.21451,2.18526,0.09125,0.00937,0.00657,0.00206,1.72507,59.4049,1.67562,0.00111414,0.00111414,0.00111414
69,95.9475,1.52295,2.4777,1.29285,0.05271,0.01094,0.00845,0.00249,1.60721,104.291,1.65808,0.00110589,0.00110589,0.00110589
70,97.3343,2.61423,3.5849,2.21817,0.053,0.01094,0.0067,0.00222,1.69846,148.739,1.75739,0.00109764,0.00109764,0.00109764
71,98.6956,2.74289,3.41457,2.24126,0.04848,0.01094,0.00551,0.00195,1.79471,142.305,1.82637,0.00108938,0.00108938,0.00108938
72,100.045,2.49032,3.03929,1.96907,0.05298,0.01094,0.0041,0.00103,1.98999,22.5578,1.67567,0.00108113,0.00108113,0.00108113
73,101.38,2.55173,3.26128,2.2703,0.05725,0.00625,0.00268,0.0005,2.06157,7.87392,1.58728,0.00107288,0.00107288,0.00107288
74,102.713,2.50828,2.82024,2.06604,0.01531,0.00469,0.00219,0.00054,1.97568,3.16372,1.4145,0.00106463,0.00106463,0.00106463
75,104.017,1.56375,3.31268,1.49358,0.01312,0.00625,0.00199,0.00075,1.97355,2.41202,1.45463,0.00105638,0.00105638,0.00105638
76,105.366,2.82207,3.02039,2.23124,0.00326,0.00625,0.00274,0.001,2.15291,2.31584,1.74201,0.00104813,0.00104813,0.00104813
77,106.703,2.66084,3.20558,2.08212,0.04236,0.00156,0.00224,0.00087,1.93557,2.43756,1.60934,0.00103987,0.00103987,0.00103987
78,108.039,2.55955,2.53839,1.99888,0.07053,0.00625,0.00202,0.00053,1.95814,2.80587,1.52419,0.00103162,0.00103162,0.00103162
79,109.394,2.62276,3.35325,1.92614,0.02504,0.00313,0.00066,0.00018,2.1032,3.51398,1.65001,0.00102337,0.00102337,0.00102337
80,110.715,1.46611,2.57202,1.22099,0.00039,0.00156,0.00024,7e-05,2.39178,3.17715,2.04047,0.00101512,0.00101512,0.00101512
81,112.052,2.13916,3.19705,1.86562,0.00115,0.00313,0.00065,0.00013,2.50503,2.6704,2.39557,0.00100687,0.00100687,0.00100687
82,113.383,2.64254,3.19923,2.36899,0.00152,0.00313,0.00079,0.0002,2.36918,2.37558,2.43847,0.000998616,0.000998616,0.000998616
83,114.722,2.51398,3.36033,2.0975,0.00316,0.00469,0.00175,0.00029,2.3689,2.10098,2.76751,0.000990365,0.000990365,0.000990365
84,116.054,2.16979,3.19277,2.13167,0.0044,0.00781,0.00275,0.00082,2.12007,1.75757,2.43997,0.000982113,0.000982113,0.000982113
85,117.372,2.67611,3.44126,2.27635,0.00549,0.01094,0.00328,0.00113,2.03978,1.73254,2.39848,0.000973861,0.000973861,0.000973861
86,118.685,2.248,3.53739,1.95798,0.00612,0.01094,0.00349,0.0011,2.04661,1.70434,2.49696,0.00096561,0.00096561,0.00096561
87,119.993,2.50675,2.67296,1.89542,0.00639,0.01094,0.00373,0.00119,2.05174,1.78134,2.54549,0.000957358,0.000957358,0.000957358
88,121.301,2.29823,2.94814,1.87005,0.00565,0.00781,0.00234,0.00042,2.4083,1.99704,2.95238,0.000949106,0.000949106,0.000949106
89,122.608,1.45133,3.49774,0.92405,0.00543,0.00781,0.00281,0.00045,2.59264,1.75538,3.29869,0.000940855,0.000940855,0.000940855
90,123.903,1.96983,3.43886,1.52478,0.00587,0.00625,0.00298,0.0003,2.6927,1.60054,3.64381,0.000932603,0.000932603,0.000932603
91,125.202,1.97766,2.98855,1.62293,0.00259,0.00156,0.0013,0.00013,2.80606,1.60729,3.80871,0.000924352,0.000924352,0.000924352
92,126.54,2.53668,2.87033,2.12343,0.00801,0.00781,0.00509,0.00128,2.19454,1.74762,2.32069,0.0009161,0.0009161,0.0009161
93,127.885,2.54317,3.34458,2.04999,0.00544,0.01094,0.00362,0.00108,2.04097,1.83543,2.06774,0.000907848,0.000907848,0.000907848
94,129.221,1.9535,2.2057,1.40736,0.00465,0.01094,0.0032,0.00103,1.93182,2.02492,1.97123,0.000899597,0.000899597,0.000899597
95,130.563,2.11815,2.50281,1.76856,0.04442,0.00625,0.00398,0.00112,1.90144,2.30181,1.89247,0.000891345,0.000891345,0.000891345
96,131.946,1.60514,3.36453,1.18107,0.00381,0.01094,0.00268,0.00081,2.05057,2.64667,1.75074,0.000883093,0.000883093,0.000883093
97,133.285,2.20899,4.19391,1.67163,0.00469,0.01094,0.00214,0.00069,2.05985,2.76431,1.69151,0.000874842,0.000874842,0.000874842
98,134.635,2.76557,3.65633,2.07746,0.03098,0.00781,0.00209,0.00066,2.01346,3.02799,1.65667,0.00086659,0.00086659,0.00086659
99,135.973,2.27706,3.29155,1.88862,0.0073,0.01094,0.00207,0.0007,1.91196,3.25029,1.59414,0.000858338,0.000858338,0.000858338
100,137.33,2.65487,3.67915,1.90846,0.00277,0.01094,0.00314,0.00111,1.81057,2.80843,1.53007,0.000850087,0.000850087,0.000850087
101,138.672,1.96214,2.60474,1.62519,0.00341,0.01094,0.00383,0.0012,1.82621,2.43868,1.48609,0.000841835,0.000841835,0.000841835
102,139.983,2.0746,2.91534,1.70769,0.00503,0.01094,0.00434,0.00142,1.87669,2.06554,1.47168,0.000833583,0.000833583,0.000833583
103,141.321,2.23114,2.85631,2.00746,0.00627,0.01094,0.00407,0.00148,1.89271,1.9381,1.45645,0.000825332,0.000825332,0.000825332
104,142.656,1.88264,2.94169,1.58971,0.006,0.01094,0.00391,0.00147,1.74376,2.12181,1.38488,0.00081708,0.00081708,0.00081708
105,144,2.56272,2.56116,2.183,0.00664,0.01094,0.00397,0.00165,1.7274,2.10839,1.39586,0.000808828,0.000808828,0.000808828
106,145.312,2.3723,3.04449,1.93855,0.00594,0.01094,0.00357,0.00139,1.74394,2.31218,1.43133,0.000800577,0.000800577,0.000800577
107,146.645,2.54953,2.90873,1.92969,0.00562,0.01094,0.00314,0.00128,1.85272,2.2323,1.48257,0.000792325,0.000792325,0.000792325
108,147.986,2.72404,2.80481,2.50391,0.00466,0.01094,0.0026,0.0008,2.18008,2.0632,1.93681,0.000784073,0.000784073,0.000784073
109,149.318,2.29587,2.82368,2.03157,0.00407,0.00937,0.00225,0.00057,2.32001,2.05761,2.12974,0.000775822,0.000775822,0.000775822
110,150.644,2.19526,2.63003,1.95253,0.00526,0.01094,0.00419,0.00118,2.1952,1.96429,1.99746,0.00076757,0.00076757,0.00076757
111,151.968,2.44906,2.54649,1.92909,0.01101,0.01094,0.00438,0.00139,1.92331,1.84509,1.69298,0.000759318,0.000759318,0.000759318
112,153.298,1.7099,2.26253,1.64259,0.00624,0.01094,0.00414,0.00132,2.04207,2.03108,1.64956,0.000751067,0.000751067,0.000751067
113,154.646,2.67213,2.12822,2.19593,0.02315,0.00781,0.0047,0.00151,2.00704,1.98223,1.60444,0.000742815,0.000742815,0.000742815
114,155.953,1.23003,2.63788,1.08725,0.00858,0.01094,0.00503,0.00183,1.91625,1.85088,1.5294,0.000734564,0.000734564,0.000734564
115,157.269,2.50289,3.5557,2.01912,0.01064,0.01094,0.00663,0.00248,1.88552,1.72373,1.48177,0.000726312,0.000726312,0.000726312
116,158.601,2.51659,3.12244,2.03166,0.04181,0.01094,0.00458,0.00161,1.82468,2.22128,1.50963,0.00071806,0.00071806,0.00071806
117,159.925,2.21327,2.22105,1.83795,0.03279,0.01094,0.0048,0.00185,1.85997,3.02306,1.53944,0.000709809,0.000709809,0.000709809
118,161.26,2.18048,2.27411,1.64664,0.03864,0.01094,0.00466,0.00186,1.78191,3.47248,1.49578,0.000701557,0.000701557,0.000701557
119,162.575,1.8092,2.11488,1.41707,0.04319,0.01094,0.00383,0.00129,1.84972,3.06008,1.44548,0.000693305,0.000693305,0.000693305
120,163.905,2.31544,2.31707,2.00768,0.04253,0.00937,0.00466,0.00189,1.93029,3.09093,1.49071,0.000685054,0.000685054,0.000685054
121,165.231,2.33046,3.18245,2.0094,0.05218,0.01094,0.00489,0.00186,1.966,3.60964,1.5236,0.000676802,0.000676802,0.000676802
122,166.53,1.75021,2.51828,1.7666,0.03496,0.01094,0.00489,0.00197,2.07174,3.17281,1.58927,0.00066855,0.00066855,0.00066855
123,167.85,2.72358,3.16296,2.17786,0.02019,0.01094,0.00503,0.00215,2.14354,2.5227,1.66569,0.000660299,0.000660299,0.000660299
124,169.18,2.50984,2.66887,2.18236,0.05723,0.00781,0.00711,0.00282,2.2285,1.73184,1.98717,0.000652047,0.000652047,0.000652047
125,170.539,2.10772,2.54022,1.71744,0.06579,0.00781,0.00702,0.00314,2.27665,1.5719,2.13599,0.000643795,0.000643795,0.000643795
126,171.875,2.47903,2.44475,1.73351,0.06043,0.00781,0.00882,0.00403,2.27448,1.48585,2.23296,0.000635544,0.000635544,0.000635544
127,173.254,2.19721,1.98196,1.85988,0.06434,0.00781,0.01105,0.00492,2.25883,1.44526,2.28087,0.000627292,0.000627292,0.000627292
128,174.606,1.91706,2.78483,1.92506,0.01899,0.00937,0.0101,0.00411,2.43999,1.3895,2.75968,0.00061904,0.00061904,0.00061904
129,175.918,2.13224,2.08035,1.9309,0.01829,0.00937,0.00965,0.00332,2.51957,1.56605,2.87114,0.000610789,0.000610789,0.000610789
130,177.243,1.4875,1.98988,1.46676,0.01506,0.00781,0.00837,0.00272,2.5219,1.73563,2.98484,0.000602537,0.000602537,0.000602537
131,178.535,1.90743,2.96492,1.31486,0.0383,0.00469,0.00674,0.00179,2.64291,1.75205,3.11368,0.000594286,0.000594286,0.000594286
132,179.828,1.95242,2.4575,1.63893,0.00352,0.00156,0.00179,0.00071,2.95105,1.51954,3.7708,0.000586034,0.000586034,0.000586034
133,181.113,2.53787,2.56943,1.9788,0.0036,0.00156,0.00182,0.00073,2.90348,1.52942,3.83921,0.000577782,0.000577782,0.000577782
134,182.421,2.20824,2.71185,1.78422,0.01298,0.00313,0.00434,0.00097,2.84556,1.51422,3.86934,0.000569531,0.000569531,0.000569531
135,183.72,2.14297,2.58689,1.75959,0.01375,0.00313,0.00368,0.00083,2.78442,1.47174,3.80657,0.000561279,0.000561279,0.000561279
136,185.04,2.35005,2.39924,1.95573,0.01232,0.00781,0.00706,0.00188,2.38785,1.65563,3.06456,0.000553027,0.000553027,0.000553027
137,186.338,2.63099,2.25144,1.80806,0.04082,0.00781,0.00792,0.0025,2.30889,1.67217,2.86182,0.000544776,0.000544776,0.000544776
138,187.64,2.76152,2.59431,1.95495,0.01483,0.01094,0.0082,0.00273,2.09564,1.70454,2.47651,0.000536524,0.000536524,0.000536524
139,188.968,2.52389,2.6014,1.79741,0.01125,0.01094,0.00704,0.00241,1.97505,1.83814,2.23043,0.000528272,0.000528272,0.000528272
140,190.308,2.60927,2.98353,2.10617,0.02493,0.01094,0.00517,0.0021,1.95768,2.0421,2.14053,0.000520021,0.000520021,0.000520021
141,191.631,1.85624,2.13457,1.38842,0.03897,0.00625,0.0048,0.0014,2.06057,2.11439,2.28187,0.000511769,0.000511769,0.000511769
142,192.95,2.3399,2.74885,2.05517,0.03106,0.00625,0.00464,0.00142,2.23295,2.11619,2.58224,0.000503517,0.000503517,0.000503517
143,194.284,2.16277,2.89184,1.77404,0.04875,0.00625,0.00384,0.00135,2.34143,2.0417,2.78975,0.000495266,0.000495266,0.000495266
144,195.636,2.00928,2.28898,1.8898,0.0271,0.00625,0.00293,0.00076,2.49732,2.03413,3.0357,0.000487014,0.000487014,0.000487014
145,196.949,1.74985,2.12398,1.33325,0.03006,0.00781,0.00334,0.00071,2.49752,2.00953,3.10431,0.000478762,0.000478762,0.000478762
146,198.277,1.98401,2.80657,1.68605,0.02739,0.00625,0.0035,0.00076,2.48963,1.8924,3.11008,0.000470511,0.000470511,0.000470511
