epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77047,3.2466,5.72449,2.22793,0.00043,0.0251,0.00036,0.00016,2.51612,5.41392,2.07342,6.668e-05,6.668e-05,6.668e-05
2,4.22223,2.83539,4.72686,1.9716,0.71399,0.39952,0.60212,0.23985,2.02096,9.06275,1.53921,0.000149287,0.000149287,0.000149287
3,5.8517,1.85079,1.87471,1.44365,0.79327,0.73008,0.86613,0.44437,1.73196,6.48989,1.42298,0.00023107,0.00023107,0.00023107
4,7.36868,1.55001,1.21195,1.26398,0.91277,0.86141,0.93269,0.53482,1.41352,2.47999,1.31396,0.000312027,0.000312027,0.000312027
5,8.84728,1.45183,1.09397,1.22786,0.94127,0.88532,0.96643,0.56754,1.45379,1.3885,1.36777,0.000392158,0.000392158,0.000392158
6,10.3109,1.42593,0.91917,1.20308,0.85988,0.81131,0.97136,0.56818,1.45264,1.39308,1.34863,0.000471465,0.000471465,0.000471465
7,11.787,1.46539,1.02918,1.23902,0.87981,0.86352,0.9767,0.60569,1.41415,1.40466,1.34143,0.000549947,0.000549947,0.000549947
8,13.2415,1.39591,0.95758,1.21068,0.84985,0.84847,0.9567,0.58143,1.39802,1.70413,1.28312,0.000627603,0.000627603,0.000627603
9,14.6541,1.44017,0.88286,1.18293,0.86751,0.87235,0.97495,0.60031,1.33541,2.24769,1.26389,0.000704434,0.000704434,0.000704434
10,16.0118,1.31037,0.80995,1.13324,0.87072,0.89139,0.96811,0.5973,1.29673,2.12444,1.21908,0.00078044,0.00078044,0.00078044
11,17.3553,1.34876,0.80514,1.16254,0.89368,0.92259,0.95784,0.5601,1.4299,0.94752,1.3204,0.000855621,0.000855621,0.000855621
12,18.6953,1.32925,0.82389,1.18675,0.68625,0.94239,0.70789,0.4672,1.27756,3.45761,1.23435,0.000929977,0.000929977,0.000929977
13,20.0303,1.33057,0.83461,1.17751,0.74318,0.94326,0.76783,0.50282,1.26347,3.04139,1.22143,0.00100351,0.00100351,0.00100351
14,21.3757,1.30008,0.86724,1.1625,0.97721,0.95471,0.9902,0.65812,1.24888,0.84944,1.23907,0.00107621,0.00107621,0.00107621
15,22.754,1.29586,0.79645,1.22465,0.96935,0.95032,0.98187,0.65142,1.28029,0.85218,1.28314,0.00114809,0.00114809,0.00114809
16,24.1051,1.28755,0.75698,1.15929,0.96448,0.96265,0.98018,0.64527,1.28377,0.79533,1.25694,0.00121915,0.00121915,0.00121915
17,25.4334,1.28288,0.70708,1.12481,0.95056,0.9829,0.98974,0.67247,1.22551,1.00342,1.23939,0.00128938,0.00128938,0.00128938
18,26.7865,1.25185,0.74156,1.16069,0.97223,0.96968,0.99061,0.66275,1.23919,0.96922,1.23635,0.00135878,0.00135878,0.00135878
19,28.1047,1.29892,0.74915,1.16169,0.96337,0.99021,0.99111,0.65565,1.24957,0.71992,1.26186,0.00142736,0.00142736,0.00142736
20,29.4484,1.28304,0.77975,1.13931,0.97955,0.97585,0.99092,0.64764,1.25665,0.90518,1.22215,0.00149512,0.00149512,0.00149512
21,30.7865,1.326,0.75371,1.15815,0.97715,0.98083,0.99002,0.68141,1.14605,0.95745,1.15345,0.00150197,0.00150197,0.00150197
22,32.1692,1.25489,0.74454,1.1543,0.97482,0.97317,0.9889,0.67987,1.1737,0.76668,1.17069,0.00149372,0.00149372,0.00149372
23,33.5315,1.29367,0.70284,1.17047,0.97231,0.97813,0.98972,0.66618,1.2155,0.7332,1.19618,0.00148546,0.00148546,0.00148546
24,34.9054,1.26795,0.65706,1.13822,0.9639,0.98438,0.98957,0.63499,1.33926,0.83159,1.30039,0.00147721,0.00147721,0.00147721
25,36.2726,1.34212,0.70792,1.19536,0.97491,0.97344,0.98924,0.65208,1.27356,0.77397,1.24123,0.00146896,0.00146896,0.00146896
26,37.6441,1.30838,0.69011,1.22447,0.96808,0.95816,0.98716,0.63831,1.36675,0.74244,1.33112,0.00146071,0.00146071,0.00146071
27,39.0465,1.29923,0.68269,1.16935,0.97253,0.94874,0.98769,0.67932,1.25391,0.67016,1.26433,0.00145246,0.00145246,0.00145246
28,40.4261,1.2342,0.6448,1.15003,0.97368,0.96753,0.98825,0.67391,1.18908,0.68728,1.20896,0.00144421,0.00144421,0.00144421
29,41.7977,1.20208,0.63771,1.12525,0.98408,0.9918,0.99353,0.69371,1.12264,0.65781,1.16389,0.00143595,0.00143595,0.00143595
30,43.2101,1.20097,0.6156,1.10322,0.98464,0.99158,0.99338,0.69988,1.14907,0.59008,1.21218,0.0014277,0.0014277,0.0014277
31,44.6172,1.14864,0.59464,1.12449,0.97857,0.98508,0.99253,0.70541,1.12713,0.55826,1.17618,0.00141945,0.00141945,0.00141945
32,46.0346,1.20399,0.59474,1.09942,0.97846,0.98042,0.9916,0.70824,1.10914,0.61559,1.15646,0.0014112,0.0014112,0.0014112
33,47.4039,1.19416,0.606,1.0945,0.98105,0.97886,0.99057,0.68652,1.11171,0.62054,1.14508,0.00140295,0.00140295,0.00140295
34,48.7215,1.24461,0.60853,1.18122,0.9853,0.97927,0.9918,0.68721,1.19902,0.63044,1.24084,0.0013947,0.0013947,0.0013947
