epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85691,0.54188,0.89743,0.87338,0.99034,0.88252,0.94651,0.92869,0.22331,0.36739,0.80079,8.335e-05,8.335e-05,8.335e-05
2,6.1343,0.47046,0.61733,0.84957,0.82412,0.88725,0.86034,0.79965,0.34545,0.46619,0.81819,0.000183365,0.000183365,0.000183365
3,8.37875,0.45379,0.48674,0.84623,0.78818,0.84559,0.85193,0.78042,0.36347,0.6649,0.82287,0.000283359,0.000283359,0.000283359
4,10.6083,0.46626,0.53482,0.8381,0.83281,0.86029,0.84606,0.76106,0.41381,0.51004,0.83034,0.000383316,0.000383316,0.000383316
5,12.8273,0.48101,0.50129,0.84704,0.84832,0.86029,0.86441,0.78617,0.42588,0.4701,0.82826,0.00048322,0.00048322,0.00048322
6,15.0833,0.46071,0.53953,0.83844,0.88733,0.81863,0.84343,0.76075,0.42168,0.43527,0.83206,0.000583054,0.000583054,0.000583054
7,17.35,0.45858,0.52595,0.84233,0.86989,0.83333,0.83517,0.78038,0.41801,0.47133,0.82444,0.000682802,0.000682802,0.000682802
8,19.5535,0.43008,0.4924,0.8089,0.88256,0.83333,0.87043,0.794,0.44552,0.4361,0.83578,0.000782448,0.000782448,0.000782448
9,21.7849,0.48866,0.52132,0.82815,0.84015,0.83333,0.87408,0.79599,0.40914,0.64137,0.83156,0.000881976,0.000881976,0.000881976
10,24.0099,0.45149,0.54747,0.82596,0.84152,0.83333,0.87316,0.76803,0.45504,0.46099,0.8316,0.000981369,0.000981369,0.000981369
11,26.23,0.47857,0.54023,0.83985,0.77934,0.81863,0.84809,0.77083,0.41055,0.44991,0.82627,0.00108061,0.00108061,0.00108061
12,28.476,0.44723,0.47144,0.82376,0.85653,0.80026,0.86918,0.7865,0.44955,0.4956,0.83426,0.00117969,0.00117969,0.00117969
13,30.702,0.44008,0.47974,0.83703,0.94922,0.75141,0.84856,0.75211,0.49104,0.5552,0.84457,0.00127858,0.00127858,0.00127858
14,32.9456,0.44375,0.49909,0.85358,0.85203,0.80292,0.8764,0.79682,0.47604,0.68722,0.8338,0.00137727,0.00137727,0.00137727
15,35.1421,0.47016,0.52624,0.83323,0.85177,0.80849,0.88957,0.80253,0.46442,0.6575,0.8323,0.00147575,0.00147575,0.00147575
16,37.3554,0.46444,0.50838,0.8419,0.7985,0.82109,0.89543,0.81626,0.44475,0.57575,0.8276,0.001574,0.001574,0.001574
17,39.5998,0.46586,0.51394,0.83052,0.86467,0.77696,0.88738,0.79955,0.45457,0.50149,0.82791,0.00165544,0.00165544,0.00165544
18,41.8154,0.47637,0.52274,0.82891,0.84716,0.8725,0.89733,0.79425,0.49767,0.62238,0.83297,0.00165396,0.00165396,0.00165396
19,44.0276,0.46626,0.48835,0.83563,0.84413,0.875,0.87777,0.77255,0.5011,0.58729,0.84571,0.00165238,0.00165238,0.00165238
20,46.2579,0.4879,0.53461,0.8304,0.89493,0.86029,0.8686,0.78587,0.45539,0.54112,0.83434,0.00165072,0.00165072,0.00165072
21,48.466,0.44629,0.48563,0.83728,0.85152,0.86029,0.85859,0.77721,0.4279,0.53173,0.82373,0.00164897,0.00164897,0.00164897
22,50.6819,0.47572,0.4791,0.82314,0.81015,0.86029,0.86314,0.76532,0.46277,0.53457,0.8286,0.00164713,0.00164713,0.00164713
23,52.8855,0.45365,0.45913,0.84005,0.92605,0.81483,0.86167,0.77709,0.46144,0.52412,0.83196,0.0016452,0.0016452,0.0016452
24,55.1134,0.4559,0.47427,0.82141,0.923,0.80114,0.84359,0.75793,0.49987,0.59407,0.84505,0.00164318,0.00164318,0.00164318
25,57.3363,0.42996,0.41918,0.80692,0.88761,0.80336,0.84018,0.75109,0.50829,0.54978,0.85109,0.00164108,0.00164108,0.00164108
26,59.5478,0.46229,0.46463,0.822,0.94749,0.77696,0.84974,0.76649,0.46414,0.55905,0.8387,0.00163888,0.00163888,0.00163888
27,61.7732,0.47084,0.48189,0.8332,0.86357,0.85159,0.8679,0.75776,0.48823,0.53841,0.8386,0.0016366,0.0016366,0.0016366
28,64.0126,0.42627,0.44071,0.81819,0.86252,0.81863,0.8796,0.76677,0.45914,0.5149,0.8342,0.00163424,0.00163424,0.00163424
29,66.2629,0.44891,0.44259,0.80508,0.82178,0.80392,0.86328,0.75518,0.47398,0.53873,0.83971,0.00163178,0.00163178,0.00163178
30,68.5044,0.47352,0.44783,0.82038,0.78304,0.84559,0.88066,0.77433,0.47128,0.53235,0.83744,0.00162924,0.00162924,0.00162924
31,70.6995,0.43946,0.44496,0.81094,0.87115,0.86029,0.88789,0.78112,0.45918,0.46178,0.84162,0.00162661,0.00162661,0.00162661
32,72.9473,0.45868,0.46097,0.82858,0.95945,0.81985,0.86775,0.78712,0.4367,0.48955,0.83366,0.0016239,0.0016239,0.0016239
33,75.1746,0.43748,0.44628,0.82578,0.91604,0.82341,0.87241,0.77731,0.4443,0.47712,0.84018,0.0016211,0.0016211,0.0016211
34,77.3822,0.43966,0.47429,0.82316,0.85219,0.81863,0.88146,0.79489,0.459,0.46506,0.83497,0.00161822,0.00161822,0.00161822
