                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3155,                 2.0464,                 1.2346,                0.88119,                0.43102,                0.59542,                0.43338,                 1.2578,                 1.9569,                 1.3145,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.2134,                 1.7796,                 1.2398,                0.68229,                0.78243,                 0.7731,                0.56639,                 1.0915,                0.93422,                 1.2565,             0.00011669,             0.00011669,             0.00011669
                      3,                 1.1236,                0.88278,                 1.1682,                0.78622,                0.87826,                 0.8356,                 0.6282,                0.91469,                0.87636,                 1.1178,             0.00018335,             0.00018335,             0.00018335
                      4,                0.95251,                0.65751,                 1.0423,                0.89417,                0.94493,                0.95445,                0.74665,                0.82493,                0.93486,                 1.0324,             0.00024998,             0.00024998,             0.00024998
                      5,                 0.9304,                0.69847,                 1.0332,                0.90597,                0.95131,                0.97977,                0.77506,                0.80243,                0.76212,                 1.0042,             0.00031657,             0.00031657,             0.00031657
                      6,                0.91365,                0.64179,                 1.0274,                0.87698,                0.95752,                0.98894,                0.79046,                 0.7843,                0.66469,                0.97063,             0.00038311,             0.00038311,             0.00038311
                      7,                0.93444,                0.65035,                 1.0498,                0.94333,                0.99477,                0.99364,                0.80937,                0.77999,                0.50609,                0.94851,             0.00044959,             0.00044959,             0.00044959
                      8,                0.92752,                  0.968,                 1.0129,                0.99509,                0.98042,                  0.995,                0.83058,                0.73737,                0.44306,                0.92374,             0.00051598,             0.00051598,             0.00051598
                      9,                0.90038,                0.49192,                   1.03,                0.95564,                0.92519,                0.99033,                0.83334,                0.72777,                0.54037,                 0.9308,             0.00058229,             0.00058229,             0.00058229
                     10,                0.84968,                0.54948,                0.97349,                0.96306,                0.90574,                0.98656,                0.82997,                  0.721,                0.53364,                0.91215,             0.00064849,             0.00064849,             0.00064849
                     11,                0.82492,                0.48174,                0.94985,                0.99393,                 0.9366,                0.99417,                0.83377,                0.70801,                0.43916,                 0.9024,             0.00071458,             0.00071458,             0.00071458
                     12,                0.77168,                0.48618,                0.91777,                0.99628,                0.98463,                  0.995,                 0.8101,                0.72269,                0.42939,                0.91787,             0.00078054,             0.00078054,             0.00078054
                     13,                0.95899,                0.68681,                0.99861,                0.95572,                      1,                0.99356,                0.80636,                0.72936,                0.45629,                0.91098,             0.00084636,             0.00084636,             0.00084636
                     14,                0.78766,                0.44548,                0.91894,                0.95759,                0.99945,                0.99403,                 0.8176,                0.70543,                0.45425,                0.90852,             0.00091203,             0.00091203,             0.00091203
                     15,                0.81016,                 0.4422,                0.93272,                0.97685,                      1,                  0.995,                0.84494,                 0.7068,                0.38169,                0.89996,             0.00097754,             0.00097754,             0.00097754
                     16,                 0.7803,                0.40367,                0.91875,                0.97053,                0.99814,                  0.995,                0.83893,                0.70272,                0.39714,                0.88462,              0.0010429,              0.0010429,              0.0010429
                     17,                 0.8189,                0.42945,                0.94455,                0.97461,                      1,                  0.995,                0.83432,                0.70527,                0.39994,                0.87994,               0.001108,               0.001108,               0.001108
                     18,                0.86986,                0.44491,                0.97882,                0.97667,                      1,                  0.995,                0.81934,                0.73618,                0.42152,                0.88879,              0.0011729,              0.0011729,              0.0011729
                     19,                0.77927,                0.43275,                0.90411,                0.98395,                      1,                  0.995,                0.82465,                0.71806,                 0.4246,                0.88048,              0.0012377,              0.0012377,              0.0012377
                     20,                0.82775,                0.41477,                0.92529,                0.95525,                0.87709,                0.99417,                0.82389,                0.72808,                0.53092,                0.87301,              0.0013022,              0.0013022,              0.0013022
                     21,                0.80411,                0.43048,                0.90961,                0.98283,                      1,                  0.995,                 0.8242,                0.70035,                0.38272,                0.88417,              0.0013664,              0.0013664,              0.0013664
                     22,                0.76021,                0.43013,                0.92114,                0.99392,                0.99777,                  0.995,                0.83451,                 0.7026,                 0.3445,                0.88647,              0.0014305,              0.0014305,              0.0014305
                     23,                0.79446,                0.40518,                0.95263,                0.99321,                0.99748,                  0.995,                0.82696,                0.69385,                0.35548,                0.87872,              0.0014942,              0.0014942,              0.0014942
                     24,                0.75747,                 0.3968,                0.89806,                0.99378,                0.99792,                  0.995,                0.83411,                0.69803,                0.35442,                0.86373,              0.0015577,              0.0015577,              0.0015577
                     25,                0.79317,                0.41613,                  0.913,                0.97337,                0.99687,                0.99452,                0.80684,                0.76376,                0.37983,                0.88507,              0.0016209,              0.0016209,              0.0016209
                     26,                0.78987,                0.43419,                0.92852,                0.97855,                0.99207,                0.99452,                0.82541,                0.75631,                0.40112,                0.88314,              0.0016348,              0.0016348,              0.0016348
                     27,                0.78398,                 0.4442,                0.91352,                0.98951,                0.99609,                  0.995,                0.84781,                0.68616,                0.36011,                0.86815,              0.0016321,              0.0016321,              0.0016321
                     28,                0.79434,                0.41562,                0.94304,                0.97652,                0.95566,                 0.9805,                0.83793,                 0.6854,                0.41191,                0.86229,              0.0016294,              0.0016294,              0.0016294
                     29,                0.78053,                0.42879,                0.90494,                0.96035,                0.93026,                0.96629,                0.81778,                0.69031,                0.46558,                0.86722,              0.0016266,              0.0016266,              0.0016266
                     30,                0.73854,                0.46071,                0.92063,                0.99549,                0.91646,                0.97535,                 0.8103,                  0.701,                 0.4449,                0.87357,              0.0016237,              0.0016237,              0.0016237
                     31,                0.68616,                0.37757,                  0.886,                0.99253,                0.85346,                0.97901,                0.83215,                0.64941,                0.49453,                0.86155,              0.0016207,              0.0016207,              0.0016207
                     32,                0.74691,                0.43247,                0.91933,                0.95381,                0.95696,                0.99452,                0.84857,                0.64521,                0.44086,                0.85831,              0.0016176,              0.0016176,              0.0016176
                     33,                0.66091,                0.38802,                0.88368,                0.99082,                0.98999,                  0.995,                0.86075,                 0.6469,                0.37394,                0.85298,              0.0016144,              0.0016144,              0.0016144
                     34,                0.73822,                 0.4346,                0.89645,                0.98219,                0.98333,                0.99452,                0.84994,                0.65037,                0.40022,                0.85755,              0.0016111,              0.0016111,              0.0016111
                     35,                0.71573,                 0.4089,                0.89297,                0.98643,                0.99445,                  0.995,                0.86367,                0.63593,                0.41389,                0.85552,              0.0016077,              0.0016077,              0.0016077
                     36,                0.75263,                 0.3826,                0.93481,                0.98633,                      1,                  0.995,                0.84531,                0.64134,                0.37897,                0.86057,              0.0016042,              0.0016042,              0.0016042
                     37,                0.69367,                0.38491,                0.90031,                0.98816,                 0.9956,                  0.995,                0.82254,                0.71872,                0.40531,                 0.8855,              0.0016006,              0.0016006,              0.0016006
                     38,                0.68689,                0.39957,                0.90694,                0.98782,                      1,                  0.995,                0.81536,                0.76755,                0.42667,                0.90172,              0.0015969,              0.0015969,              0.0015969
                     39,                0.72361,                0.41574,                0.91283,                0.99255,                      1,                  0.995,                0.84717,                0.67046,                0.37199,                0.87376,              0.0015931,              0.0015931,              0.0015931
                     40,                0.68998,                0.38042,                0.88605,                0.99342,                      1,                  0.995,                0.85096,                0.65899,                 0.3625,                0.86831,              0.0015893,              0.0015893,              0.0015893
                     41,                0.68583,                0.39342,                0.90009,                0.99006,                0.99779,                  0.995,                0.83399,                0.69525,                0.37416,                0.87307,              0.0015853,              0.0015853,              0.0015853
                     42,                 0.6934,                0.38776,                0.91122,                      1,                0.98858,                  0.995,                0.84828,                0.66408,                0.34956,                0.86295,              0.0015812,              0.0015812,              0.0015812
                     43,                0.68985,                0.37715,                0.90363,                      1,                0.99682,                  0.995,                0.84651,                0.65556,                0.35141,                0.86452,              0.0015771,              0.0015771,              0.0015771
                     44,                0.71488,                0.37356,                0.90115,                0.99792,                0.99802,                  0.995,                0.84617,                0.68758,                0.36305,                0.86412,              0.0015728,              0.0015728,              0.0015728
                     45,                 0.6907,                0.37631,                0.89476,                0.99739,                0.99975,                  0.995,                 0.8489,                0.67756,                0.36113,                0.86299,              0.0015685,              0.0015685,              0.0015685
                     46,                0.68154,                0.38174,                 0.9064,                 0.9962,                      1,                  0.995,                0.86111,                0.60904,                0.33414,                0.84605,               0.001564,               0.001564,               0.001564
                     47,                0.53686,                  1.864,                0.67654,                0.99649,                      1,                  0.995,                 0.8608,                0.60418,                0.32667,                0.84587,              0.0015595,              0.0015595,              0.0015595
                     48,                0.68387,                0.38521,                0.91888,                0.99633,                      1,                  0.995,                0.87917,                0.60091,                0.31668,                0.84275,              0.0015549,              0.0015549,              0.0015549
                     49,                0.78311,                0.43676,                0.91859,                0.99626,                      1,                  0.995,                0.85382,                0.60399,                0.31719,                0.84171,              0.0015502,              0.0015502,              0.0015502
                     50,                0.82145,                0.41964,                0.94654,                0.99651,                      1,                  0.995,                0.86207,                0.62011,                0.33836,                0.85583,              0.0015454,              0.0015454,              0.0015454
                     51,                 0.6383,                 0.3852,                0.85886,                0.99534,                 0.9921,                  0.995,                 0.8503,                0.61689,                0.34379,                0.85322,              0.0015405,              0.0015405,              0.0015405
                     52,                0.70277,                0.39372,                0.89912,                0.98755,                0.99683,                  0.995,                0.85462,                0.62283,                0.32931,                0.85263,              0.0015356,              0.0015356,              0.0015356
