epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.08013,0.89152,3.46576,0.99609,0.62575,0.66614,0.60792,0.50152,0.68319,1.51464,0.91348,0.00011669,0.00011669,0.00011669
2,12.6227,0.66971,1.03952,0.86372,0.96882,0.95134,0.95835,0.70151,0.73977,0.94218,0.89714,0.000250023,0.000250023,0.000250023
3,15.6645,0.68626,0.61466,0.87173,0.71741,0.92095,0.72771,0.60491,0.6201,1.27875,0.87659,0.000383244,0.000383244,0.000383244
4,18.7235,0.62233,0.52101,0.85389,0.49668,0.9655,0.54427,0.4867,0.60031,2.37966,0.86765,0.000516265,0.000516265,0.000516265
5,21.7174,0.64274,0.48463,0.86104,0.51024,0.81036,0.52114,0.45745,0.66626,2.84394,0.89441,0.000649001,0.000649001,0.000649001
6,24.7144,0.62747,0.46655,0.8438,0.55306,0.86193,0.62145,0.52662,0.63701,1.21873,0.88243,0.000781365,0.000781365,0.000781365
7,27.7643,0.64466,0.45069,0.853,0.94133,0.88247,0.93867,0.72829,0.6221,0.5241,0.87566,0.000913271,0.000913271,0.000913271
8,30.7586,0.62655,0.50007,0.84544,0.97782,0.97408,0.98729,0.76054,0.66895,0.44664,0.88857,0.00104463,0.00104463,0.00104463
9,33.7835,0.65465,0.43637,0.86042,0.98357,0.95346,0.98567,0.78118,0.61705,0.4222,0.87385,0.00117537,0.00117537,0.00117537
10,36.7676,0.64029,0.43301,0.85238,0.95392,0.98943,0.98937,0.77872,0.63802,0.47509,0.87867,0.00130538,0.00130538,0.00130538
11,39.7669,0.61886,0.40841,0.84597,0.96878,1,0.99382,0.78974,0.59521,0.40304,0.8667,0.0014346,0.0014346,0.0014346
12,42.7602,0.63257,0.39991,0.85119,0.97583,1,0.99497,0.8037,0.59649,0.42133,0.86573,0.00156294,0.00156294,0.00156294
13,45.718,0.63228,0.43401,0.87799,0.98326,1,0.995,0.79278,0.60598,0.40906,0.87347,0.00164108,0.00164108,0.00164108
14,48.6281,0.6395,0.39352,0.8749,0.98151,1,0.99353,0.80803,0.58344,0.39713,0.86065,0.0016366,0.0016366,0.0016366
15,51.668,0.5891,0.39167,0.84212,0.96822,1,0.9929,0.80381,0.58856,0.36884,0.86237,0.00163178,0.00163178,0.00163178
16,54.61,0.61238,0.39091,0.85078,0.94852,1,0.9938,0.80855,0.56658,0.42367,0.86235,0.00162661,0.00162661,0.00162661
17,57.6267,0.58368,0.37999,0.83036,0.97267,1,0.99454,0.80777,0.55677,0.38015,0.86218,0.0016211,0.0016211,0.0016211
18,60.5695,0.57513,0.3876,0.83916,0.99095,1,0.99497,0.79665,0.58208,0.38829,0.86569,0.00161525,0.00161525,0.00161525
19,63.5139,0.587,0.37822,0.84661,0.99423,1,0.995,0.80894,0.56997,0.38008,0.86188,0.00160905,0.00160905,0.00160905
20,66.4933,0.60138,0.39271,0.83593,0.99195,0.99057,0.99491,0.81755,0.55854,0.33853,0.85688,0.00160252,0.00160252,0.00160252
21,69.4911,0.54183,0.38538,0.84332,0.96717,0.97368,0.99423,0.82464,0.55441,0.41842,0.8578,0.00159566,0.00159566,0.00159566
22,72.481,0.58087,0.38151,0.83937,0.96894,1,0.995,0.81722,0.60519,0.67103,0.86643,0.00158847,0.00158847,0.00158847
23,75.447,0.58129,0.39556,0.84626,0.97187,1,0.995,0.79784,0.59575,0.47827,0.86317,0.00158094,0.00158094,0.00158094
24,78.3972,0.57945,0.37785,0.83186,0.98415,0.98261,0.99432,0.81586,0.55669,0.49823,0.85368,0.0015731,0.0015731,0.0015731
25,81.3776,0.55231,0.35218,0.82985,0.97574,0.98468,0.99472,0.82621,0.5545,0.38178,0.86211,0.00156493,0.00156493,0.00156493
26,84.37,0.56848,0.35505,0.84979,0.98269,1,0.995,0.82497,0.56322,0.37848,0.85762,0.00155645,0.00155645,0.00155645
27,87.3197,0.57987,0.36776,0.85358,0.99069,1,0.995,0.83042,0.555,0.35128,0.85297,0.00154765,0.00154765,0.00154765
28,90.3057,0.54017,0.34225,0.82848,0.98849,1,0.995,0.83746,0.53935,0.32089,0.84977,0.00153854,0.00153854,0.00153854
29,93.2763,0.54839,0.34428,0.8477,0.99114,1,0.995,0.83512,0.55536,0.33084,0.85255,0.00152913,0.00152913,0.00152913
30,96.2257,0.53739,0.3371,0.83706,0.992,1,0.995,0.8219,0.56553,0.32172,0.85519,0.00151942,0.00151942,0.00151942
